eng	fra
I just smiled.	J'ai simplement souri.
I never worry.	Je ne me fais jamais de souci.
I became rich.	Je suis devenue riche.
Please come.	S'il te plait, viens.
I need answers.	J'ai besoin de réponses.
We surrender.	Nous nous rendons.
I like rock.	J'aime le rock.
You're bright.	Vous êtes brillante.
I'm yours.	Je suis à vous.
We did it.	Nous avons réussi !
Don't call me.	Ne m'appelle pas.
You're loaded.	T'es pleine de fric.
Are we safe?	Sommes-nous en sécurité ?
That's lovely.	C'est ravissant.
That is mine.	C'est à moi.
I saw that.	J'ai vu cela.
We've finished.	Nous avons terminé.
I smell smoke.	Je sens l'odeur de la fumée.
Leave a message.	Laisse un message !
We'll walk.	Nous marcherons.
Give it a shot.	Tente-le !
What a nerve!	Quel culot !
We're ashamed.	Nous avons honte.
Get the camera.	Prenez l'appareil photo.
I need support.	J'ai besoin de soutien.
I got fined.	On m'a mis une prune.
This is big.	C'est gros.
I relied on Tom.	Je me suis reposé sur Tom.
I'm catching on.	Je comprends.
Hurry up, girls.	Secouez-vous, les filles !
Open your mouth!	Ouvre la bouche.
We're back.	Nous sommes de retour.
See what I mean?	Tu vois ce que je veux dire ?
We know him.	Nous le connaissons.
They're brave.	Ils sont courageux.
They hate us.	Ils nous détestent.
I told you so.	Je te l'avais dit !
He was crying.	Il pleurait.
It's on fire.	C'est en feu.
He's a southpaw.	Il est gaucher.
May I go to bed?	Est-ce que je peux aller au lit ?
He dropped it.	Il laissa tomber.
I'm the oldest.	Je suis la plus vieille.
I'd like a beer.	J'aimerais une bière.
Try to resist.	Essayez de résister.
Is it to go?	Ça doit partir ?
Is that a wolf?	Est-ce que c'est un loup ?
There's a leak.	Il y a une fuite.
It's redundant.	C'est devenu inutile.
My suit is grey.	Mon costume est gris.
Do you love me?	M'aimes-tu ?
Are you crazy?	Es-tu fou ?
He's a real man.	C'est un vrai mec.
I'm the coach.	Je suis l'entraîneur.
Hello!	Bonjour !
It's really bad.	C'est vraiment mauvais.
It's not mine.	Ce n'est pas le mien.
We just landed.	Nous venons d'atterrir.
She tied him up.	Elle l'a attaché.
I'm just lazy.	Je suis juste paresseuse.
Grab a spoon.	Attrape une cuillère.
I am from Spain.	Je viens d'Espagne.
I felt excited.	Je me sentais énervée.
You look smart.	Vous avez l'air intelligent.
Keep this.	Gardez ceci.
I run every day.	Je cours tous les jours.
Taste this.	Essayez ceci !
It's suicidal.	C'est suicidaire.
Just trust me.	Faites-moi juste confiance !
Anyone hurt?	Qui que ce soit est-il blessé ?
I made these.	J'ai fait ceux-ci.
That's so hard.	C'est tellement dur !
He never lies.	Il ne ment jamais.
Stay down.	Restez baissé.
Tom cooks.	Tom cuisine.
It is a book.	Ceci est un livre.
I'm not lying.	Je ne suis pas en train de mentir.
I did that.	J'ai fait cela.
I'm surprised.	Je suis surprise.
How is the wife?	Comment va ta femme?
That's right!	C'est vrai !
I'll be glad to.	Oui, avec joie.
It's all over.	C'est complètement fini.
Was it good?	Était-ce bon ?
Who called you?	Qui t'a appelé ?
You're crafty.	Vous êtes rusée.
It'll break.	Ça va casser.
Are you famous?	Es-tu célèbre ?
You are early.	Tu es matinale.
I'm a purist.	Je suis un puriste.
I'm ambitious.	Je suis ambitieux.
You're foolish.	Vous êtes imprudentes.
I'm very happy.	Je suis très heureuse.
Life is short.	La vie est courte.
You're careful.	Tu es prudente.
Don't leave!	Ne quittez pas !
Is that illegal?	Est-ce illégal ?
I want to fight.	Je veux combattre.
It was working.	Ça fonctionnait.
I'm cultured.	Je suis cultivée.
I built it.	Je l'ai construit.
We were busy.	Nous étions occupés.
Help us, please.	Aide-nous, je te prie !
Are you kidding?	Tu plaisantes ?
It's news to me.	Je n'étais pas au courant.
Their eyes met.	Leurs regards se croisèrent.
Did Tom call?	Est-ce que Tom a appelé ?
I'm immune.	Je suis immunisée.
You're early.	Vous êtes matinale.
Wake the kids.	Réveillez les enfants.
I like Tom.	J'aime Tom.
I'm a bit busy.	Je suis un peu occupé.
He can't swim.	Il ne sait pas nager.
Don't shoot!	Ne tire pas !
I was confident.	J'étais confiante.
Lock the office.	Ferme le bureau à clé.
It's not true.	Ce n'est pas vrai.
It looked fresh.	Ça avait l'air frais.
I'm able to ski.	Je sais skier.
They're spies.	Ce sont des espionnes.
Did you win?	As-tu vaincu ?
Who did it?	Qui l'a fait ?
You are big.	Vous êtes grande.
We'll rebuild.	Nous reconstruirons.
I wouldn't care.	Je m'en ficherais.
Let's rest here.	Reposons-nous ici.
He felt uneasy.	Il s'est senti mal à l'aise.
He is reading.	Il lit.
Hold it!	Ne bouge plus !
I forgot my bag.	J'ai oublié mon sac.
I'm a medic.	Je suis toubib.
They're awake.	Ils sont éveillés.
She is young.	Elle est jeune.
I hate this rug.	Je déteste ce tapis.
Give him time.	Donne-lui du temps.
Are you injured?	Êtes-vous blessées ?
Did I win?	Est-ce moi qui ai gagné ?
He looks young.	Il a l'air jeune.
Is it hard?	Est-ce difficile ?
That can happen.	Ça peut arriver.
I feel it now.	Je le sens, maintenant.
Stop that now.	Arrêtez ça maintenant.
It's not enough.	C'est insuffisant.
I'm stubborn.	Je suis obstiné.
How big is it?	C'est grand comment ?
Lie still.	Reste allongé, immobile !
I phoned him.	Je lui ai téléphoné.
Be attentive.	Sois attentif.
I hate you both.	Je vous déteste tous les deux.
I'm very hungry.	J'ai très faim.
You look tired.	Tu parais fatigué.
You're cruel.	Tu es cruelle.
Is he right?	A-t-il raison ?
Everyone saw it.	Tout le monde le vit.
I have amnesia.	Je souffre d'amnésie.
I fell.	Je suis tombée.
I own a yacht.	Je possède un bateau de plaisance.
I'm not lonely.	Je ne me sens pas seul.
Let's begin.	Commençons !
I love my kids.	J'adore mes enfants.
Stay calm.	Restez calme.
My back aches.	Mon dos me fait mal.
I'm saying no.	Je dis non.
I won't do that.	Je ne ferai pas ça.
Tom's guilty.	Tom est coupable.
I am married.	Je suis mariée.
That's my cat.	C'est ma chatte.
It's phony.	C'est du pipeau tout ça.
Tom disagreed.	Tom était en désaccord.
It's artificial.	C'est artificiel.
We need water.	Nous avons besoin d'eau.
We need to go.	Il nous faut partir.
Many thanks.	Grand merci.
Don't fall off!	Ne tombez pas !
Check, please.	L'addition s'il vous plaît.
I let it fall.	Je l'ai laissé tomber.
Keep on smiling.	Restez souriantes.
Are you ready?	Êtes-vous prêt ?
Let me out!	Laissez-moi sortir !
You're my boss.	Tu es mon patron.
Please stay.	Reste, s'il te plaît.
I am a shy boy.	Je suis un garçon timide.
Beware of dog.	Attention au chien !
Hold this.	Tenez ça !
Come and see me.	Viens me voir.
I'm hardworking.	Je suis appliqué.
I went aboard.	Je suis monté à bord.
You can do it.	Tu peux y arriver.
Don't worry.	Ne vous inquiétez pas.
I phoned.	Je téléphonai.
You need sleep.	Tu as besoin de sommeil.
Sit down, Tom!	Assieds-toi, Tom !
They kissed.	Ils se sont embrassés.
This annoys me.	Ça me gave.
We're in pain.	Nous souffrons.
I cringed.	J'ai eu un mouvement de recul.
I'll go look.	J'irai voir.
Stay alert.	Reste sur tes gardes.
I'll go next.	J'irai ensuite.
I'm not happy.	Je ne suis pas contente.
I forbid that.	J'interdis cela.
Are you blind?	Es-tu aveugle ?
I'm outraged.	Je suis indigné.
He let me go.	Il m'a laissé m'en aller.
I saw you there.	Je vous y ai vus.
Ring the bell.	Sonnez la cloche.
We're all here.	Nous sommes toutes là.
Everyone agreed.	Tout le monde fut d'accord.
It wasn't mine.	Ce n'était pas la mienne.
It's an outrage.	C'est un outrage.
He went surfing.	Il est allé faire du surf.
Don't back away.	Ne cédez pas !
It has begun.	Ça a commencé.
I saw the file.	J'ai vu le fichier.
I can't feel it.	Je ne parviens pas à le percevoir.
You're a thief.	Tu es un voleur.
I've got you.	Je vous ai eu.
Do you eat fish?	Mangez-vous du poisson ?
I need you.	J'ai besoin de toi.
You go first.	Vous en premier.
You have mail.	Vous avez du courrier.
Bless you.	À tes souhaits !
Tom lies.	Tom ment.
I'm naked.	Je suis nue.
It's very big.	C'est très grand.
He lost a book.	Il a perdu un livre.
I am very tall.	Je suis très grande.
I'm blind.	Je suis aveugle.
I'm grounded.	Je suis cloué.
It's a dead end.	C'est une impasse.
It's safe here.	C'est sans danger, ici.
Make a choice.	Fais un choix !
Get down.	Descends !
Tom seems nice.	Tom a l'air sympa.
They smiled.	Ils ont souri.
I've won.	J'ai gagné.
I am Hungarian.	Je suis hongrois.
We're married.	Nous sommes mariés.
It's all over.	C'est complètement terminé.
Tom's angry.	Tom est en colère.
Can I have one?	Puis-je en avoir une ?
It is the law.	C'est la loi.
I can feel it.	Je parviens à le ressentir.
This is ours.	C'est à nous.
This is free.	C'est gratuit.
I was lonely.	J'étais esseulée.
You're crafty.	Vous êtes rusées.
How is your dad?	Comment va ton père ?
He let us go.	Il nous a laissées partir.
Tom fired Mary.	Tom a renvoyé Mary.
You're awesome.	Vous êtes géniale.
Hello everyone!	Salut tout le monde !
I was horrified.	J'étais horrifié.
Can you hear us?	Parviens-tu à nous entendre ?
Are you hurt?	Vous êtes-vous blessée ?
Anybody hurt?	Quiconque a-t-il été blessé ?
Are you hot?	As-tu chaud ?
I grow tomatoes.	Je cultive des tomates.
I'm punctual.	Je suis ponctuelle.
You're rich.	Vous êtes riche.
I teach Chinese.	J’enseigne le chinois.
Come outside.	Viens dehors.
I told you so.	Je vous l'ai dit !
I am curious.	Je suis curieux.
I'm exhausted.	Je suis crevé.
Bite the bullet.	Serrez les dents.
When was that?	C'était quand ?
Stay with me.	Reste avec moi.
I hate beans.	Je déteste les haricots.
Tom needs me.	Tom a besoin de moi.
Cook for me.	Cuisine pour moi.
I can't win.	Je ne puis gagner.
Stand back!	Reculez !
Tom's glad.	Tom est joyeux.
It's no problem.	Sans problème !
Anything else?	Autre chose ?
She got caught.	Elle se fit prendre.
Do it right now.	Faites-le immédiatement.
Can we leave?	Pouvons-nous partir ?
Can I finish?	Puis-je en finir ?
Let me find out.	Laisse-moi trouver !
Are they busy?	Sont-elles occupées ?
Tom was dumped.	Tom a été largué.
I was offended.	J'ai été offensée.
Mary is a widow.	Mary est veuve.
Horses run fast.	Un cheval court vite.
You scare me.	Tu me fais peur.
I was disgusted.	J'ai été dégoûtée.
This is crazy.	C'est dingue.
I'm so glad.	Je suis si heureux.
I rescued you.	Je vous ai sauvée.
I don't see how.	Je ne vois pas de quelle manière.
Are you crying?	Pleures-tu ?
He looks tired.	Il a l'air fatigué.
I am in London.	Je suis à Londres.
You may swim.	Vous pouvez nager.
I'm okay.	Je me porte bien.
Ask them.	Demandez-leur.
You're crafty.	Vous êtes rusé.
Who is hungry?	Qui a faim ?
It's true!	C'est vrai !
I had some fun.	Je me suis marrée.
We like him.	Nous l'apprécions.
I'm rather busy.	Je suis plutôt occupé.
Don't fret.	Vous tracassez pas.
He did it again.	Il l'a fait à nouveau.
Stop whimpering.	Arrête de geindre.
It was a secret.	C'était un secret.
Be watchful.	Sois prudente !
No problem.	Ce n'est rien.
Eat everything.	Mangez tout.
Go away.	Pars !
Drink it down.	Buvez-le !
Really?	Vrai ?
I have to hurry!	Je suis pressé !
They said yes.	Elles ont dit oui.
I hear laughing.	J'entends un rire.
I have time.	Je dispose de temps.
She just left.	Elle vient juste de partir.
They're mine.	Ce sont les miennes.
Do you love me?	M'aimez-vous ?
I've got you.	Je vous ai eues.
They said no.	Ils ont dit non.
Don't force it.	Ne le forcez pas.
Write to Tom.	Écris à Tom.
I like castles.	J'aime les châteaux.
Do you know her?	La connais-tu ?
It's as you say.	C'est comme tu le dis.
Did I hurt you?	Vous ai-je fait mal ?
We waited.	Nous attendîmes.
I'll pray hard.	Je prierai de toutes mes forces.
Were you happy?	Étiez-vous heureuse ?
I believe that.	J'y crois.
Tom stinks.	Tom pue.
We're not late.	Nous ne sommes pas en retard.
Catch him.	Rattrape-le.
You're nice.	Vous êtes sympas.
Do you smoke?	Fumez-vous ?
I went for help.	Je suis parti quérir de l'aide.
He is foolish.	Il est idiot.
I feel trapped.	Je me sens piégé.
I need it ASAP.	J'en ai besoin aussi vite que possible.
Go with Tom.	Allez avec Tom.
Did you like it?	L'avez-vous aimée ?
Are you honest?	Êtes-vous honnêtes ?
We must attack.	Il nous faut attaquer.
How'd you do it?	Comment avez-vous fait ?
This is a desk.	C'est un bureau.
You're welcome.	De rien !
I didn't move.	Je n'ai pas bougé.
Is it yours?	Est-ce à vous ?
May I join you?	Puis-je vous accompagner ?
We'll wait.	Nous attendrons.
Expect no mercy.	Ne t'attends à aucune pitié !
Sweep my room.	Va nettoyer ma chambre.
Are you joking?	Tu plaisantes ?
They're early.	Elles sont en avance.
I'm clean.	J'ai décroché.
Keep reading.	Continuez à lire !
I'm not normal.	Je ne suis pas normale.
Keep quiet!	Reste tranquille !
You tried.	Tu as essayé.
No one spoke.	Personne n'a parlé.
I'm lazy.	Je suis fainéante.
He's my hero.	C'est mon héros.
I need the tape.	J'ai besoin du Scotch.
I need to know.	Il me faut le savoir.
That's a crime.	C'est un délit.
Make it larger.	Élargis-le.
I felt guilty.	Je me sentis coupable.
Can they see me?	Peuvent-ils me voir ?
I like your car.	J'aime votre voiture.
I heard yelling.	J'ai entendu hurler.
I'm gullible.	Je suis crédule.
I'm paying.	C'est moi qui paie.
You're nuts!	T'es givrée !
I have a bruise.	J'ai un bleu.
I must buy one.	Je dois en acheter un.
I'm concerned.	Je suis préoccupée.
I travel light.	Je voyage léger.
It's time.	Il est temps !
Please smile.	Veuillez sourire !
It's weird.	C'est bizarre.
She types well.	Elle tape bien.
I was sleepy.	J'avais envie de dormir.
We'll call you.	Nous vous appellerons.
Tie your shoe.	Nouez votre lacet de chaussure.
Run for it!	Filez !
It's a plant.	Il s'agit d'une plante.
Get your gear.	Allez chercher votre matériel !
Tie your shoes.	Attache tes lacets.
I felt left out.	Je me suis senti exclue.
I talked to her.	Je lui ai parlé.
We're joking.	Nous plaisantons.
May I go first?	Puis-je y aller en premier ?
I hate it here.	Je déteste cet endroit.
Tom's here.	Tom est ici.
She married him.	Elle l'a épousé.
I love my home.	J'adore mon chez-moi.
Does Tom drink?	Est-ce que Tom boit ?
I heard a noise.	J'ai entendu un bruit.
I knew the risk.	Je connaissais le risque.
He's a nerd.	C'est un binoclard.
That's stupid.	C'est con.
They're inside.	Ils sont à l'intérieur.
I'm buying.	Je paie.
Is it broken?	Est-ce brisé ?
I'm innocent.	Je suis ingénu.
We're saved.	Nous sommes sauvés.
I'll prove it.	Je le prouverai.
I like French.	J'aime le français.
You're creepy.	Vous êtes sinistres.
No one is there.	Il n'y a personne.
Don't back away.	Ne cède pas !
Get dressed.	Habille-toi.
I'm all yours.	Je suis tout à vous.
I love parties.	J'adore les fêtes.
Is he looking?	Regarde-t-il ?
Find a solution.	Trouve une solution !
Who's speaking?	Qui parle ?
I was too shy.	J'étais trop timide.
You're lazy.	Tu es paresseuse.
I got dumped.	On m'a largué.
You're precise.	Tu es précis.
Is it true?	C'est vrai ?
Is she Japanese?	Est-elle japonaise ?
I chickened out.	J'ai pris peur.
Don't tell me.	Ne me le dis pas.
Let the dog go.	Laisse le chien partir.
Did you get it?	As-tu compris ?
I saw something.	Je vis quelque chose.
I mean no harm.	Je n'ai pas de mauvaise intention.
Face facts!	Regardez les faits en face.
Look after Tom.	Prends soin de Tom.
I outrank you.	J'ai la préséance sur toi.
I need a change.	J'ai besoin d'un changement.
I'll be brief.	Je serai brève.
Are you thirsty?	As-tu soif ?
Are you mad?	Es-tu folle ?
Who told you?	Qui vous l'a raconté ?
I became rich.	Je suis devenu riche.
She is Japanese.	Elle est japonaise.
That's perfect.	C'est parfait.
I got it.	J'ai compris.
Who is Tom?	C’est qui, Tom ?
Does it work?	Est-ce que ça fonctionne ?
Let's go now.	Allons-y maintenant.
They have come.	Elles sont arrivées.
I saved you.	Je t'ai sauvée.
Mary is weird.	Marie est bizarre.
I just told him.	Je viens de le lui dire.
Let me go.	Laisse-moi m'en aller !
Start writing.	Commence à écrire.
It makes sense.	Ça se tient.
Hold this.	Tiens ça !
They're strong.	Elles sont fortes.
Let me explain.	Laisse-moi expliquer.
I want a family.	Je veux une famille.
I'm finicky.	Je suis méticuleux.
I just finished.	Je viens de terminer.
See you around.	Au plaisir de vous revoir.
How big you are!	Que vous êtes grandes !
She hates him.	Elle le hait.
Stop filming.	Arrête de filmer.
I'm Canadian.	Je suis Canadien.
Is Tom ill?	Tom est-il malade ?
Can you show me?	Pouvez-vous me montrer ?
I'll scream.	Je crierai.
I need a lawyer.	J'ai besoin d'un avocat.
I haven't slept.	Je n'ai pas dormi.
Go ahead.	Vas-y.
Tom's funny.	Tom est marrant.
I stole a gun.	J'ai volé une arme.
Please leave.	Pars, je te prie.
Make your move.	Faites votre déplacement.
It's a fruit.	Il s'agit d'un fruit.
I'm being used.	On m'utilise.
I love to party.	J'adore faire la fête.
Be careful!	Soyez prudent !
It's broken.	C'est cassé.
It's too cold.	Il fait trop froid.
I'm ruined.	Je suis ruinée.
He's sexy.	Il est sexy.
I'm at work.	Je suis au travail.
I'm too fat.	Je suis trop gros.
Get ready.	Prépare-toi.
That's clever.	C'est astucieux.
It stinks.	Ça pue.
Try this cake.	Essayez ce gâteau.
I was shaken.	J'ai été remuée.
He's a slacker.	C'est un planqué.
I felt reborn.	Je me suis sentie renaître.
Don't be crazy.	Ne sois pas fou !
I can't be sure.	Je ne saurais en être certain.
Do you see that?	Vois-tu ça ?
No one's home.	Personne n'est chez lui.
Enjoy your day.	Bonne journée à toi !
Were you shot?	Vous a-t-on tiré dessus ?
It's not mine.	Ce n'est pas à moi.
Let me see that.	Fais-moi voir ça.
It's stupid.	C'est bête.
Everyone dies.	Tout le monde meurt.
I was beaten.	J'ai été frappé.
No one moved.	Personne n'a bougé.
She is a beauty.	C'est une beauté.
I trust you.	J'ai confiance en toi.
Keep on trying.	Continue d'essayer.
Smell this.	Sens ça.
Please stop.	Arrête, s'il te plaît.
Tom was cruel.	Tom a été cruel.
I let you down.	Je vous ai laissé tomber.
Let's chat.	Discutons.
I was there.	Je me tenais là.
We're not open.	Nous ne sommes pas ouvertes.
I'm the boss.	C'est moi le patron.
You are wrong.	Tu as tort.
I don't follow.	Je ne suis pas.
I must decline.	Il me faut décliner.
Air the futon.	Aérez le futon !
They cheat.	Elles trichent.
I love myself.	Je m'aime.
I was tired.	J'étais fatigué.
I'll tell you.	Je vous dirai.
He's a big boy.	C’est un grand garçon.
Are we prepared?	Y sommes-nous prêtes ?
You may swim.	Tu peux nager.
His ID was fake.	Sa carte d'identité était falsifiée.
I'm not here.	Je ne suis pas ici.
Hang on tight.	Accroche-toi bien !
Leave my house.	Quitte ma maison !
It's time.	C'est l'heure.
He came by car.	Il vint en voiture.
Tom seems lost.	Tom a l'air perdu.
I'm psychic.	Je suis voyante.
I'm wide awake.	Je suis tout à fait éveillé.
Here or to go?	Sur place ou à emporter ?
Are you ready?	Êtes-vous prête ?
We must act.	Il nous faut agir.
Take cover!	Mettez-vous à l'abri !
Save me a seat.	Réserve-moi un siège.
They all know.	Elles savent toutes.
She is gentle.	Elle est gentille.
Clean your room.	Nettoie ta chambre.
Can I help you?	Puis-je vous aider ?
I'm psychic.	Je suis voyant.
Have a snack.	Prenez un en-cas !
Stay close.	Restez près.
I'm persevering.	Je persévère.
He made her cry.	Il la fit pleurer.
You've won!	Tu as gagné !
I rescued you.	Je t'ai sauvé.
Don't apologize.	Ne t'excuse pas.
Keep looking.	Continuez à regarder !
Check, please.	Vérifie, s'il te plaît.
You look busy.	Tu sembles occupé.
Kids are cruel.	Les enfants sont cruels.
I'd be honored.	Je serais honorée.
I'm unarmed.	Je suis désarmé.
I rescued you.	Je vous ai sauvés.
We made it.	Nous l'avons accompli.
Oh please!	Je t'en prie !
How much is it?	Combien ça fait ?
Be a man.	Sois un homme !
I won't die.	Je ne vais pas mourir.
I like girls.	J'aime les filles.
Tom's sad.	Tom est triste.
I don't mind.	Ça m'est égal.
I was shaken.	J'ai été secoué.
Close the door.	Fermez la porte !
You're in love.	Tu es amoureux.
Tell us a joke.	Raconte-nous une blague.
I envy you.	Je t'envie.
I'll read it.	Je le lirai.
Whose is it?	À qui est-ce ?
I know a way.	Je connais un moyen.
They're boys.	Ce sont des garçons.
I'm not young.	Je ne suis pas jeune.
We only kissed.	Nous n'avons fait que nous embrasser.
That's illegal.	C'est illégal.
I'm wet.	Je suis mouillé.
I got upset.	Je me suis fâché.
I'll need this.	Je vais avoir besoin de ceci.
What is that?	Qu'est-ce ?
I cried a lot.	J'ai beaucoup pleuré.
Good evening.	Bonsoir.
Stop bragging.	Cessez de vous vanter.
I was late.	J'étais en retard.
Let's go away.	Allons-nous-en !
Can we leave?	Peut-on s'en aller ?
I hit Tom.	J'ai frappé Tom.
You're sleepy.	Vous êtes endormis.
I can't go.	Je ne peux pas y aller.
I feel faint.	Je me sens faible.
I am in trouble.	Je suis mal barré.
I'll start.	Je commencerai.
That's the one.	C'est celui-là.
I'm such a fool.	Je suis un tel idiot.
It's inspiring.	C'est exaltant.
Let us out.	Laisse-nous sortir !
I wish you luck.	Je vous souhaite bonne chance.
He's coming.	Il est en train d'arriver.
It's not a loan.	Ce n'est pas un prêt.
Just sign here.	Signe juste ici.
You're correct.	Tu as raison.
My hip hurts.	Ma hanche me fait mal.
Stand back!	Reculez !
Read it to me.	Lis-la-moi !
How's your cold?	Comment va ton rhume ?
I can fix it.	Je peux la réparer.
Isn't it true?	N'est-ce pas vrai ?
I'm realistic.	Je suis réaliste.
They're rich.	Ils sont riches.
I miss all this.	Tout ceci me manque.
I pay taxes.	Je paye des accises.
I was singing.	J'étais en train de chanter.
They approve.	Elles approuvent.
I made a copy.	J'ai fait une copie.
I often do this.	Je fais souvent ça.
Stay out of it.	Ne vous en mêlez pas !
We remember.	Nous nous en souvenons.
I have two jobs.	J'ai deux boulots.
Am I dying?	Suis-je en train de mourir ?
Tom's a doctor.	Tom est docteur.
He has gone mad.	Il est devenu fou.
I like jogging.	J'aime faire du jogging.
All is quiet.	Tout est calme.
I was lost.	J'étais perdue.
Don't resist.	Ne résiste pas !
Tom's working.	Tom est en train de travailler.
I can't dance.	Je ne sais pas danser.
We'll help.	Nous apporterons de l'aide.
Who said that?	Qui a dit cela ?
We never lose.	Nous ne perdons jamais.
I'm sleepy!	J'ai sommeil !
Tie your shoe.	Attachez votre lacet.
He ignored me.	Il m'a ignorée.
Can he see me?	Est-il en mesure de me voir ?
We won.	Nous l'avons emporté.
We can't fail.	Nous ne pouvons pas échouer.
Who has come?	Qui est venu ?
Read this.	Lis ceci.
Did you see it?	L'avez-vous vu ?
He's rich.	Il est riche.
Get in the boat.	Grimpez dans le bateau !
Boy was I naive.	Dieu que j'étais naïve !
No one knew it.	Personne ne le sut.
Go get it.	Allez le chercher !
I feel old.	Je me sens vieux.
Tom's famous.	Tom est célèbre.
That's my idea.	C'est mon idée.
Stop right here.	Arrête juste ici !
I have no kids.	Je n'ai aucun enfant.
He's all right.	Il va bien.
It's the truth.	C'est la vérité.
We're shaken.	Nous sommes remués.
Take your time.	Prenez votre temps.
How is everyone?	Comment va tout le monde ?
It's a scam.	C'est une arnaque.
I'm loyal.	Je suis loyal.
We meant well.	Nos intentions étaient bonnes.
I called you.	Je vous ai appelées.
I'll never tell.	Je ne le dirai jamais.
We have a deal.	Nous avons établi un accord.
We get on OK.	On s'entend bien.
I can drive you.	Je peux te conduire.
Please come.	Veuillez venir.
I felt sad.	J'ai ressenti de la tristesse.
Me, too.	Moi aussi.
We'll follow.	Nous suivrons.
We all laughed.	Nous rîmes tous.
I outrank you.	Je te dépasse.
This is a book.	C'est un livre.
I do like you.	Je t'apprécie vraiment.
You're welcome.	Avec plaisir.
I'm not insane.	Je ne suis pas fou.
I've got you.	Je t'ai eu.
I snore.	Je ronfle.
Take it easy!	Détendez-vous !
Let's not talk.	Ne parlons pas.
Don't stop him.	Ne l'arrête pas.
How interesting!	Comme c'est intéressant !
I worked hard.	Je travaillais dur.
I'm alone.	Je suis seule.
Wait a second.	Attendez une seconde !
We love them.	Nous les aimons.
Are you lost?	Es-tu perdue ?
Hold the door.	Retiens la porte !
I'm chicken.	J'ai les chocottes.
Stay inside.	Reste à l'intérieur !
I'm sloshed.	Je suis bourré.
They're gone.	Ils sont partis.
I have a cold.	J'ai un rhume.
I'm broke.	Je suis fauché.
Are you unlucky?	Êtes-vous malchanceuses ?
You're silly.	Vous êtes idiot.
Tom needs this.	Tom a besoin de ceci.
Open your mouth!	Ouvrez la bouche !
She adores him.	Elle le vénère.
I followed you.	Je vous ai suivie.
You look busy.	Vous avez l'air occupée.
Do you eat fish?	Est-ce que tu manges du poisson?
You're nice.	Vous êtes sympa.
He is well paid.	Il est bien payé.
Watch the door.	Surveille la porte !
Tom is nuts.	Tom est malade mental.
Do you go often?	Vous y allez souvent ?
He bought a hat.	Il a acheté un chapeau.
I just miss him.	Il me manque, tout simplement.
Try it again.	Essaie à nouveau.
We could read.	Nous pouvions lire.
Stay down.	Reste baissé.
Men are pigs.	Les hommes sont des égoïstes.
I'll come back.	Je reviendrai.
She gave money.	Elle a donné de l'argent.
I live upstate.	Je réside au nord de l'état.
No one can tell.	Personne ne peut le dire.
Don't smoke.	Ne fumez pas.
I'm not a cop.	Je ne suis pas flic.
I whistled.	J’ai sifflé.
I'll do it now.	Je vais le faire maintenant.
Do I need this?	Ai-je besoin de ça ?
I feel queasy.	J'ai mal au cœur.
I didn't go.	Je ne m'y suis pas rendue.
We're dating.	Nous sortons ensemble.
I was naive.	J'ai été naïf.
You're stuck.	T'es planté.
Do you want him?	Avez-vous besoin de lui ?
He was invited.	Il fut invité.
He tricked me.	Il m'a flouée.
Please tell me.	Dites-moi, s'il vous plaît.
It takes time.	Ça prend du temps.
I'm at my place.	Je suis à la maison.
Tom changed.	Tom a changé.
Count me in.	Tu peux me compter dans le nombre.
Walk tall, son.	Marche la tête haute, mon fils !
We did fine.	Nous nous en sommes bien tirés.
I want time.	Je veux du temps.
I'm used to it.	J'y suis habitué.
May I try it on?	Puis-je l'essayer ?
Let's go.	Allons-y !
I'm trapped.	Je suis piégé.
Tom, don't die.	Ne meurs pas, Tom.
How could it be?	Comment cela se pourrait-il ?
I disobeyed you.	Je vous ai désobéi.
Are we alone?	Sommes-nous seuls ?
Green suits you.	Le vert vous sied bien.
Get down.	Descendez !
Did you say 30?	Avez-vous dit trente ?
Show me.	Montrez-moi !
I'm talking.	Je suis en train de discuter.
I have a twin.	J'ai un jumeau.
I'll get up.	Je me lèverai.
Keep running.	Continue à courir.
Eat your peas.	Mangez vos petits pois.
Cut that out!	Arrête !
That's my car.	C'est ma bagnole.
Does Tom smoke?	Tom fume-t-il ?
I hear music.	J'entends de la musique.
We'll pass.	Nous réussirons.
Help me out.	Aidez-moi à sortir.
It happened.	C'est arrivé.
I'm about ready.	Je suis quasiment prêt.
I'm sensitive.	Je suis sensible.
Feed the bird!	Nourris l'oiseau !
I'm going crazy.	Je deviens fou.
We're students.	Nous sommes étudiants.
What a big dog!	Quel grand chien !
I'm the boss.	Je suis la patronne.
I'll kill it.	Je le tuerai.
He's not in yet.	Il n'est pas encore là.
Cut it out!	Arrête !
I'm on holiday.	Je suis en vacances.
I want it all.	Je veux tout.
It's now 2:30.	Maintenant, il est 2:30.
You're stuck.	Vous êtes planté.
Please take one.	Veuillez en prendre un.
They're clean.	Ils sont propres.
I am not eating.	Je ne suis pas en train de manger.
It's not enough.	Ça ne suffit pas.
He saved us all.	Il nous sauva tous.
I'd rather walk.	Je préférerais marcher.
We need a car.	Il nous faut une voiture.
We're sunk.	Nous sommes foutus.
We saw it.	Nous l'avons vue.
Do as you like.	Faites comme vous voulez.
I was naive.	J'étais naïf.
Men are simple.	Les hommes sont simples.
I couldn't walk.	Je ne pourrais pas marcher.
